n,app,avg_cume_score
10,RUPEE Top-Aligned,2.05118141024807160957
11,RUPEE Top-Aligned,2.09925492395324653669
12,RUPEE Top-Aligned,2.14305637746892294334
13,RUPEE Top-Aligned,2.18274456512971284744
14,RUPEE Top-Aligned,2.21993458914706724496
15,RUPEE Top-Aligned,2.25566229192911118744
16,RUPEE Top-Aligned,2.28870453156127523886
17,RUPEE Top-Aligned,2.31992475792938985251
18,RUPEE Top-Aligned,2.35004290395660682956
19,RUPEE Top-Aligned,2.37912916760367560386
20,RUPEE Top-Aligned,2.40716284902351019688
21,RUPEE Top-Aligned,2.43428377111030462959
22,RUPEE Top-Aligned,2.46056297944232546727
23,RUPEE Top-Aligned,2.48596200212400954057
24,RUPEE Top-Aligned,2.51075584345053624175
25,RUPEE Top-Aligned,2.53449700080974300611
26,RUPEE Top-Aligned,2.55756920969269453304
27,RUPEE Top-Aligned,2.57969579363934494566
28,RUPEE Top-Aligned,2.60128543645758920455
29,RUPEE Top-Aligned,2.62242257254918212813
30,RUPEE Top-Aligned,2.64286702661357532154
31,RUPEE Top-Aligned,2.66258460193689761067
32,RUPEE Top-Aligned,2.68178335013221593511
33,RUPEE Top-Aligned,2.70065942713804294011
34,RUPEE Top-Aligned,2.71908860142820081743
35,RUPEE Top-Aligned,2.73753872775557886084
36,RUPEE Top-Aligned,2.75567560152128609849
37,RUPEE Top-Aligned,2.77327631025011126024
38,RUPEE Top-Aligned,2.79071270310683433338
39,RUPEE Top-Aligned,2.80781514286392327670
40,RUPEE Top-Aligned,2.82458047529939268825
41,RUPEE Top-Aligned,2.84095303514708335524
42,RUPEE Top-Aligned,2.857125958615268371
43,RUPEE Top-Aligned,2.873155157790543596
44,RUPEE Top-Aligned,2.889098291071196772
45,RUPEE Top-Aligned,2.905047831471956742
46,RUPEE Top-Aligned,2.920858458776285930
47,RUPEE Top-Aligned,2.936701271221669659
48,RUPEE Top-Aligned,2.952607244182357285
49,RUPEE Top-Aligned,2.968305886221089256
50,RUPEE Top-Aligned,2.983803124758148244
51,RUPEE Top-Aligned,2.999102470314869825
52,RUPEE Top-Aligned,3.014417009938541238
53,RUPEE Top-Aligned,3.030164433489276370
54,RUPEE Top-Aligned,3.046144359258641447
55,RUPEE Top-Aligned,3.062236224438042528
56,RUPEE Top-Aligned,3.078676586055102952
57,RUPEE Top-Aligned,3.095369077970403363
58,RUPEE Top-Aligned,3.112150532406258909
59,RUPEE Top-Aligned,3.128990030388587268
60,RUPEE Top-Aligned,3.146029881567869018
61,RUPEE Top-Aligned,3.163239473024974767
62,RUPEE Top-Aligned,3.180767221609771486
63,RUPEE Top-Aligned,3.198465908768185297
64,RUPEE Top-Aligned,3.216253836200651887
