n,app,avg_cume_score
31,RUPEE Top-Aligned,0.46608667931763475731
32,RUPEE Top-Aligned,0.46546282049640475775
33,RUPEE Top-Aligned,0.46486012712169218286
34,RUPEE Top-Aligned,0.46428048944504661081
35,RUPEE Top-Aligned,0.46371446585092813178
36,RUPEE Top-Aligned,0.46315838246467134607
37,RUPEE Top-Aligned,0.46259737316837444803
38,RUPEE Top-Aligned,0.46205697605061764361
39,RUPEE Top-Aligned,0.46153042256303138148
40,RUPEE Top-Aligned,0.46101995011056089862
41,RUPEE Top-Aligned,0.46052230493028508864
42,RUPEE Top-Aligned,0.46003587006164805994
43,RUPEE Top-Aligned,0.45956377145223507307
44,RUPEE Top-Aligned,0.45910471917213982551
45,RUPEE Top-Aligned,0.45865676117835311764
46,RUPEE Top-Aligned,0.45821989251976268359
47,RUPEE Top-Aligned,0.45779460018669942435
48,RUPEE Top-Aligned,0.45738114998758409767
49,RUPEE Top-Aligned,0.45697907005276814592
50,RUPEE Top-Aligned,0.45658612051790624165
51,RUPEE Top-Aligned,0.45620166536364475613
52,RUPEE Top-Aligned,0.45582673270650996891
53,RUPEE Top-Aligned,0.45544462763935537456
54,RUPEE Top-Aligned,0.45507167332451255201
55,RUPEE Top-Aligned,0.45470753683839020374
56,RUPEE Top-Aligned,0.45435065654453758336
57,RUPEE Top-Aligned,0.45400071277707517249
58,RUPEE Top-Aligned,0.45365829103136570789
59,RUPEE Top-Aligned,0.45332100546238928722
60,RUPEE Top-Aligned,0.45299027598453850409
61,RUPEE Top-Aligned,0.45266637232965710683
62,RUPEE Top-Aligned,0.45234911408108337174
63,RUPEE Top-Aligned,0.45203756217848817062
64,RUPEE Top-Aligned,0.45173100975791913114
65,RUPEE Top-Aligned,0.45143031443582469849
66,RUPEE Top-Aligned,0.45113493710584093111
67,RUPEE Top-Aligned,0.45084466971460947369
68,RUPEE Top-Aligned,0.45055954105372548023
69,RUPEE Top-Aligned,0.45027689039740781945
70,RUPEE Top-Aligned,0.44999809668133829080
71,RUPEE Top-Aligned,0.44972351297490759496
72,RUPEE Top-Aligned,0.44945394430880649077
73,RUPEE Top-Aligned,0.44918866524734986016
74,RUPEE Top-Aligned,0.44892704474669782494
75,RUPEE Top-Aligned,0.44866991634418307220
76,RUPEE Top-Aligned,0.44841682807819256758
77,RUPEE Top-Aligned,0.44816741469996829564
78,RUPEE Top-Aligned,0.44792072820361827297
79,RUPEE Top-Aligned,0.44767736769066848792
80,RUPEE Top-Aligned,0.44743702133160340710
81,RUPEE Top-Aligned,0.44719986749496997240
82,RUPEE Top-Aligned,0.44696530342435274469
83,RUPEE Top-Aligned,0.44673306931611049839
84,RUPEE Top-Aligned,0.44650366396027314234
85,RUPEE Top-Aligned,0.44627700490161719366
86,RUPEE Top-Aligned,0.44605298861745788963
87,RUPEE Top-Aligned,0.44583065012656971163
88,RUPEE Top-Aligned,0.44561064154220568957
89,RUPEE Top-Aligned,0.44539337888828687584
90,RUPEE Top-Aligned,0.44517830484279529855
91,RUPEE Top-Aligned,0.44496580571903026442
92,RUPEE Top-Aligned,0.44475560978911539885
93,RUPEE Top-Aligned,0.44454732142859018731
94,RUPEE Top-Aligned,0.44434144902073138749
95,RUPEE Top-Aligned,0.44413723139205254598
96,RUPEE Top-Aligned,0.44393498330433645853
97,RUPEE Top-Aligned,0.44373442981866758608
98,RUPEE Top-Aligned,0.44353471934499387956
99,RUPEE Top-Aligned,0.44333642108499324410
100,RUPEE Top-Aligned,0.44314028690286392576
