n,app,alg,avg_cume_score
57,mTM,TM_Q,0.34176783421959317211
58,mTM,TM_Q,0.34037175911559666303
59,mTM,TM_Q,0.33898558070537585559
60,mTM,TM_Q,0.33763943626706741966
61,mTM,TM_Q,0.33633207507586814460
62,mTM,TM_Q,0.33499527543818743779
63,mTM,TM_Q,0.33362503557796292213
64,mTM,TM_Q,0.33219967861736647220
65,mTM,TM_Q,0.33078494313932172771
66,mTM,TM_Q,0.32938026410473436510
67,mTM,TM_Q,0.32795440683419093074
68,mTM,TM_Q,0.32656894924921602075
69,mTM,TM_Q,0.32519220790442224982
70,mTM,TM_Q,0.32376557046786527286
71,mTM,TM_Q,0.32234766708026093849
72,mTM,TM_Q,0.32096566138499883706
73,mTM,TM_Q,0.31959172882792972553
74,mTM,TM_Q,0.31825354390975942742
75,mTM,TM_Q,0.31689558547188479196
76,mTM,TM_Q,0.31551853552425966372
77,mTM,TM_Q,0.31417607075960581326
78,mTM,TM_Q,0.31286682752650132830
79,mTM,TM_Q,0.31158996225141132172
80,mTM,TM_Q,0.31029313029222696549
81,mTM,TM_Q,0.30902723319292095501
82,mTM,TM_Q,0.30776632297715521843
83,mTM,TM_Q,0.30653476955454058905
84,mTM,TM_Q,0.30533123955874554074
85,mTM,TM_Q,0.30415506830876831420
86,mTM,TM_Q,0.30300502972873187451
87,mTM,TM_Q,0.30188023187532890376
88,mTM,TM_Q,0.30077973231257691652
89,mTM,TM_Q,0.29970239630286212206
90,mTM,TM_Q,0.29864831591771925481
91,mTM,TM_Q,0.29761634395349100412
92,mTM,TM_Q,0.29660590887464616222
93,mTM,TM_Q,0.29559398499016634342
94,mTM,TM_Q,0.29460222470887849940
95,mTM,TM_Q,0.29363056833310798505
96,mTM,TM_Q,0.29263584671233201095
97,mTM,TM_Q,0.29166080596359146596
98,mTM,TM_Q,0.29068419296524587094
99,mTM,TM_Q,0.28968493781177011340
100,mTM,TM_Q,0.28870478404869930599
1,RUPEE All-Aligned,TM_Q,0.58657486655650900191
2,RUPEE All-Aligned,TM_Q,0.57748953368149747557
3,RUPEE All-Aligned,TM_Q,0.57283840953718278466
4,RUPEE All-Aligned,TM_Q,0.56872305141224198915
5,RUPEE All-Aligned,TM_Q,0.56215078852123545634
6,RUPEE All-Aligned,TM_Q,0.55709491203489754205
7,RUPEE All-Aligned,TM_Q,0.55300016763947761983
8,RUPEE All-Aligned,TM_Q,0.54929240433682635451
9,RUPEE All-Aligned,TM_Q,0.54616873923105731556
