n,app,avg_cume_score
44,RUPEE All-Aligned,0.49213456998581200853
45,RUPEE All-Aligned,0.49171689260671293366
46,RUPEE All-Aligned,0.49131009773143923566
47,RUPEE All-Aligned,0.49091474960905508707
48,RUPEE All-Aligned,0.49052983664813283741
49,RUPEE All-Aligned,0.49015656279165459203
50,RUPEE All-Aligned,0.48979267486438398318
51,RUPEE All-Aligned,0.48943685285768557477
52,RUPEE All-Aligned,0.48908908451437770258
53,RUPEE All-Aligned,0.48874642640335518697
54,RUPEE All-Aligned,0.48840919091566671382
55,RUPEE All-Aligned,0.48807840838443086739
56,RUPEE All-Aligned,0.48775173586403046960
57,RUPEE All-Aligned,0.48742849943117659151
58,RUPEE All-Aligned,0.48710007187833760806
59,RUPEE All-Aligned,0.48677596809223371100
60,RUPEE All-Aligned,0.48645644213315790811
61,RUPEE All-Aligned,0.48613868490572673626
62,RUPEE All-Aligned,0.48582629630482777404
63,RUPEE All-Aligned,0.48551630819102519565
64,RUPEE All-Aligned,0.48521033074618437158
65,RUPEE All-Aligned,0.48490547389306677347
66,RUPEE All-Aligned,0.48460486715211622172
67,RUPEE All-Aligned,0.48430713947324143873
68,RUPEE All-Aligned,0.48400941463970601510
69,RUPEE All-Aligned,0.48371110679127843100
70,RUPEE All-Aligned,0.48341123162287415560
71,RUPEE All-Aligned,0.48311240084012846821
72,RUPEE All-Aligned,0.48281325701913452336
73,RUPEE All-Aligned,0.48251650446942902107
74,RUPEE All-Aligned,0.48222038545074191603
75,RUPEE All-Aligned,0.48192116154661582064
76,RUPEE All-Aligned,0.48162413045952580204
77,RUPEE All-Aligned,0.48132809697913226313
78,RUPEE All-Aligned,0.48102862060696718956
79,RUPEE All-Aligned,0.48072993597908415033
80,RUPEE All-Aligned,0.48043350708991254051
81,RUPEE All-Aligned,0.48014038547606804410
82,RUPEE All-Aligned,0.47985090296151258455
83,RUPEE All-Aligned,0.47956389559796307864
84,RUPEE All-Aligned,0.47928012563586984980
85,RUPEE All-Aligned,0.47900010122551347898
86,RUPEE All-Aligned,0.47872339438211093088
87,RUPEE All-Aligned,0.47844966398659814393
88,RUPEE All-Aligned,0.47817908580152723404
89,RUPEE All-Aligned,0.47791181020109773182
90,RUPEE All-Aligned,0.47764777204666825006
91,RUPEE All-Aligned,0.47738628361978267826
92,RUPEE All-Aligned,0.47712763355629679294
93,RUPEE All-Aligned,0.47687231966918516604
94,RUPEE All-Aligned,0.47662026903097404237
95,RUPEE All-Aligned,0.47637102899462291139
96,RUPEE All-Aligned,0.47612433101709600227
97,RUPEE All-Aligned,0.47587949205221198212
98,RUPEE All-Aligned,0.47563731373634032911
99,RUPEE All-Aligned,0.47539790721402308972
100,RUPEE All-Aligned,0.47516058051975025821
1,RUPEE Top-Aligned,0.54745920657665014353
2,RUPEE Top-Aligned,0.53756858615269025706
3,RUPEE Top-Aligned,0.53263793685938243235
4,RUPEE Top-Aligned,0.52911906489100309980
5,RUPEE Top-Aligned,0.52262849983912056706
6,RUPEE Top-Aligned,0.51755927117281060454
7,RUPEE Top-Aligned,0.51342992326175530964
8,RUPEE Top-Aligned,0.50994610971795453583
9,RUPEE Top-Aligned,0.50698593573153771902
10,RUPEE Top-Aligned,0.50449071691360810188
11,RUPEE Top-Aligned,0.50216132349212134330
12,RUPEE Top-Aligned,0.49994307951857931508
13,RUPEE Top-Aligned,0.49785067720923608576
14,RUPEE Top-Aligned,0.49588483548570590824
15,RUPEE Top-Aligned,0.49407453977853481013
16,RUPEE Top-Aligned,0.49239081370053198190
17,RUPEE Top-Aligned,0.49085467081862052152
18,RUPEE Top-Aligned,0.48943017799068222102
19,RUPEE Top-Aligned,0.48804736382010161142
20,RUPEE Top-Aligned,0.48673954086207220088
21,RUPEE Top-Aligned,0.48551427846116163496
22,RUPEE Top-Aligned,0.48436588940943431383
23,RUPEE Top-Aligned,0.48328436995409388354
24,RUPEE Top-Aligned,0.48224612095634645346
25,RUPEE Top-Aligned,0.48126642608011232764
26,RUPEE Top-Aligned,0.48032269417956863744
27,RUPEE Top-Aligned,0.47941231282238451306
28,RUPEE Top-Aligned,0.47854084191005107125
