n,app,level_precision
95,CATHEDRAL,0.301648059542796
96,CATHEDRAL,0.300715488215488
97,CATHEDRAL,0.299906279287723
98,CATHEDRAL,0.299422799422799
99,CATHEDRAL,0.298949086827875
100,CATHEDRAL,0.298585858585859
1,RUPEE Fast,1
2,RUPEE Fast,0.964646464646465
3,RUPEE Fast,0.946127946127946
4,RUPEE Fast,0.929292929292929
5,RUPEE Fast,0.911111111111111
6,RUPEE Fast,0.893939393939394
7,RUPEE Fast,0.877344877344877
8,RUPEE Fast,0.866161616161616
9,RUPEE Fast,0.85297418630752
10,RUPEE Fast,0.839393939393939
11,RUPEE Fast,0.829201101928375
12,RUPEE Fast,0.821548821548822
13,RUPEE Fast,0.811965811965812
14,RUPEE Fast,0.801587301587302
15,RUPEE Fast,0.796632996632997
16,RUPEE Fast,0.789141414141414
17,RUPEE Fast,0.780748663101604
18,RUPEE Fast,0.772727272727273
19,RUPEE Fast,0.76501860712387
20,RUPEE Fast,0.756565656565657
21,RUPEE Fast,0.74987974987975
22,RUPEE Fast,0.744260789715335
23,RUPEE Fast,0.739130434782609
24,RUPEE Fast,0.734006734006734
25,RUPEE Fast,0.728888888888889
26,RUPEE Fast,0.723776223776224
27,RUPEE Fast,0.718294051627385
28,RUPEE Fast,0.712842712842713
29,RUPEE Fast,0.706025774991292
30,RUPEE Fast,0.703703703703704
31,RUPEE Fast,0.698598892147279
32,RUPEE Fast,0.693813131313131
33,RUPEE Fast,0.688399142944597
34,RUPEE Fast,0.68270944741533
35,RUPEE Fast,0.677344877344877
36,RUPEE Fast,0.673120089786756
37,RUPEE Fast,0.667758667758668
38,RUPEE Fast,0.66374269005848
39,RUPEE Fast,0.65967365967366
40,RUPEE Fast,0.656565656565657
41,RUPEE Fast,0.651884700665188
42,RUPEE Fast,0.647667147667148
43,RUPEE Fast,0.643880667136481
44,RUPEE Fast,0.638659320477502
45,RUPEE Fast,0.634343434343434
46,RUPEE Fast,0.631093544137022
47,RUPEE Fast,0.627552116913819
48,RUPEE Fast,0.622685185185185
49,RUPEE Fast,0.619253762110905
50,RUPEE Fast,0.614949494949495
51,RUPEE Fast,0.612794612794613
52,RUPEE Fast,0.608780108780109
53,RUPEE Fast,0.605107680579379
54,RUPEE Fast,0.602506546950991
55,RUPEE Fast,0.6
56,RUPEE Fast,0.597402597402597
57,RUPEE Fast,0.593833067517278
58,RUPEE Fast,0.58899338209683
59,RUPEE Fast,0.584660160931347
60,RUPEE Fast,0.58030303030303
61,RUPEE Fast,0.577082298393774
62,RUPEE Fast,0.57445421961551
63,RUPEE Fast,0.572069905403239
64,RUPEE Fast,0.569286616161616
65,RUPEE Fast,0.565811965811966
66,RUPEE Fast,0.562442607897153
67,RUPEE Fast,0.559324589175335
68,RUPEE Fast,0.556892453951278
69,RUPEE Fast,0.55467720685112
70,RUPEE Fast,0.552813852813853
71,RUPEE Fast,0.550291648883198
72,RUPEE Fast,0.547278338945006
73,RUPEE Fast,0.54448595544486
74,RUPEE Fast,0.541905541905542
75,RUPEE Fast,0.538720538720539
76,RUPEE Fast,0.536150983519405
77,RUPEE Fast,0.533516988062443
78,RUPEE Fast,0.530691530691531
79,RUPEE Fast,0.528832630098453
80,RUPEE Fast,0.526641414141414
81,RUPEE Fast,0.523880783140042
82,RUPEE Fast,0.522172949002217
83,RUPEE Fast,0.52026286966046
84,RUPEE Fast,0.517797017797018
85,RUPEE Fast,0.515508021390374
86,RUPEE Fast,0.513154803852478
87,RUPEE Fast,0.511552304655753
88,RUPEE Fast,0.509871441689624
89,RUPEE Fast,0.508114856429463
90,RUPEE Fast,0.50628507295174
91,RUPEE Fast,0.504273504273504
92,RUPEE Fast,0.50197628458498
93,RUPEE Fast,0.499619854458564
94,RUPEE Fast,0.497421018697614
95,RUPEE Fast,0.495162147793727
96,RUPEE Fast,0.493476430976431
97,RUPEE Fast,0.491096532333646
98,RUPEE Fast,0.488559059987631
99,RUPEE Fast,0.485868788899092
100,RUPEE Fast,0.483434343434343
1,RUPEE RMSD,1
2,RUPEE RMSD,0.878787878787879
3,RUPEE RMSD,0.808080808080808
4,RUPEE RMSD,0.772727272727273
5,RUPEE RMSD,0.751515151515151
6,RUPEE RMSD,0.732323232323232
7,RUPEE RMSD,0.715728715728716
8,RUPEE RMSD,0.704545454545455
9,RUPEE RMSD,0.701459034792368
10,RUPEE RMSD,0.692929292929293
