n,app,avg_cume_score
92,RUPEE All-Aligned,1.47540191802455433815
93,RUPEE All-Aligned,1.49438693062541409133
94,RUPEE All-Aligned,1.51423281801432266579
95,RUPEE All-Aligned,1.53528344297633030428
96,RUPEE All-Aligned,1.55817728668603673342
97,RUPEE All-Aligned,1.58308639928745306120
98,RUPEE All-Aligned,1.61088784375899677980
99,RUPEE All-Aligned,1.64145561153651707688
100,RUPEE All-Aligned,1.67727340140909990322
1,RUPEE Top-Aligned,2.55784413128211570000
2,RUPEE Top-Aligned,2.65462283674959156769
3,RUPEE Top-Aligned,2.71995315458037043231
4,RUPEE Top-Aligned,2.77899950721577804308
5,RUPEE Top-Aligned,2.82815055375175681046
6,RUPEE Top-Aligned,2.86974204849180715103
7,RUPEE Top-Aligned,2.90840071455197117560
8,RUPEE Top-Aligned,2.94423544641586453423
9,RUPEE Top-Aligned,2.9793402369191986
10,RUPEE Top-Aligned,3.0120656652470898
11,RUPEE Top-Aligned,3.0435351209804071
12,RUPEE Top-Aligned,3.0743325580702306
13,RUPEE Top-Aligned,3.1028284139865991
14,RUPEE Top-Aligned,3.1308372166924657
15,RUPEE Top-Aligned,3.1580926011529399
16,RUPEE Top-Aligned,3.1848666882985857
17,RUPEE Top-Aligned,3.2109679108498374
18,RUPEE Top-Aligned,3.2360250082701875
19,RUPEE Top-Aligned,3.2602681101111953
20,RUPEE Top-Aligned,3.2840500772019851
21,RUPEE Top-Aligned,3.3068666982871055
22,RUPEE Top-Aligned,3.3294065825095356
23,RUPEE Top-Aligned,3.3514408148703014
24,RUPEE Top-Aligned,3.3731423076614385
25,RUPEE Top-Aligned,3.3943943587581405
26,RUPEE Top-Aligned,3.4152867535920246
27,RUPEE Top-Aligned,3.4360439317678382
28,RUPEE Top-Aligned,3.4565986952124264
29,RUPEE Top-Aligned,3.4766950300473270
30,RUPEE Top-Aligned,3.4962190943551349
31,RUPEE Top-Aligned,3.5153134540956797
32,RUPEE Top-Aligned,3.5342362774566069
33,RUPEE Top-Aligned,3.5528939628809645
34,RUPEE Top-Aligned,3.5712412674067809
35,RUPEE Top-Aligned,3.5895419203873719
36,RUPEE Top-Aligned,3.6077373566293234
37,RUPEE Top-Aligned,3.6256726152171712
38,RUPEE Top-Aligned,3.6435165765268488
39,RUPEE Top-Aligned,3.6612251636357675
40,RUPEE Top-Aligned,3.6786809083630928
41,RUPEE Top-Aligned,3.6959567578875027
42,RUPEE Top-Aligned,3.7132487548618727
43,RUPEE Top-Aligned,3.7303004226804559
44,RUPEE Top-Aligned,3.7471726321541205
45,RUPEE Top-Aligned,3.7635873533954924
46,RUPEE Top-Aligned,3.7796205688067999
47,RUPEE Top-Aligned,3.7955323023932652
48,RUPEE Top-Aligned,3.8113178392305470
49,RUPEE Top-Aligned,3.8270126904674589
50,RUPEE Top-Aligned,3.8424850846510002
51,RUPEE Top-Aligned,3.8578044159744735
52,RUPEE Top-Aligned,3.8729774839284569
53,RUPEE Top-Aligned,3.8881518803887345
54,RUPEE Top-Aligned,3.9033755362677541
55,RUPEE Top-Aligned,3.9186537485793301
