n,app,level_precision
12,RUPEE Fast,0.969444444444444
13,RUPEE Fast,0.967948717948718
14,RUPEE Fast,0.966666666666667
15,RUPEE Fast,0.965185185185185
16,RUPEE Fast,0.964409722222222
17,RUPEE Fast,0.963235294117647
18,RUPEE Fast,0.962037037037037
19,RUPEE Fast,0.961111111111111
20,RUPEE Fast,0.960555555555556
21,RUPEE Fast,0.958994708994709
22,RUPEE Fast,0.957323232323232
23,RUPEE Fast,0.955555555555556
24,RUPEE Fast,0.953819444444444
25,RUPEE Fast,0.952
26,RUPEE Fast,0.950320512820513
27,RUPEE Fast,0.948971193415638
28,RUPEE Fast,0.947519841269841
29,RUPEE Fast,0.945498084291188
30,RUPEE Fast,0.943703703703704
31,RUPEE Fast,0.941935483870968
32,RUPEE Fast,0.940017361111111
33,RUPEE Fast,0.937962962962963
34,RUPEE Fast,0.936356209150327
35,RUPEE Fast,0.934920634920635
36,RUPEE Fast,0.933101851851852
37,RUPEE Fast,0.931831831831832
38,RUPEE Fast,0.930482456140351
39,RUPEE Fast,0.929131054131054
40,RUPEE Fast,0.927847222222222
41,RUPEE Fast,0.926490514905149
42,RUPEE Fast,0.92526455026455
43,RUPEE Fast,0.924095607235142
44,RUPEE Fast,0.922979797979798
45,RUPEE Fast,0.921666666666667
46,RUPEE Fast,0.920410628019324
47,RUPEE Fast,0.91903073286052
48,RUPEE Fast,0.917361111111111
49,RUPEE Fast,0.915532879818594
50,RUPEE Fast,0.914111111111111
51,RUPEE Fast,0.912636165577342
52,RUPEE Fast,0.911378205128205
53,RUPEE Fast,0.910115303983228
54,RUPEE Fast,0.908950617283951
55,RUPEE Fast,0.907373737373737
56,RUPEE Fast,0.906001984126984
57,RUPEE Fast,0.90443469785575
58,RUPEE Fast,0.903065134099617
59,RUPEE Fast,0.901553672316384
60,RUPEE Fast,0.900185185185185
61,RUPEE Fast,0.898770491803279
62,RUPEE Fast,0.897356630824373
63,RUPEE Fast,0.895855379188712
64,RUPEE Fast,0.894401041666667
65,RUPEE Fast,0.892905982905983
66,RUPEE Fast,0.891498316498316
67,RUPEE Fast,0.890339966832504
68,RUPEE Fast,0.888807189542484
69,RUPEE Fast,0.887399355877617
70,RUPEE Fast,0.885952380952381
71,RUPEE Fast,0.884507042253521
72,RUPEE Fast,0.883063271604938
73,RUPEE Fast,0.88162100456621
74,RUPEE Fast,0.88018018018018
75,RUPEE Fast,0.878777777777778
76,RUPEE Fast,0.877412280701754
77,RUPEE Fast,0.876082251082251
78,RUPEE Fast,0.874679487179487
79,RUPEE Fast,0.87331223628692
80,RUPEE Fast,0.871909722222222
